岗位名称,公司名称,城市,薪资范围,经验要求,学历要求,技能要求,行业,公司规模,发布日期
AI算法工程师,华为科技,北京,28-45K,3-5年,本科,Python、Git、Linux、PyTorch、深度学习、Redis、Spark、MySQL,互联网,<50人,2026-07-17
深度学习工程师,小米数据,杭州,51-73K,10年以上,大专,Python、Git、Linux、PyTorch、深度学习、AWS、机器学习、TensorFlow,电商零售,1000-5000人,2026-05-08
测试开发工程师,快手,广州,9-13K,1-3年,本科,Python、Git、Linux、计算机视觉、高并发、LangChain,互联网,1000-5000人,2026-07-19
NLP工程师,滴滴数据,上海,23-31K,5-10年,大专,Python、Git、Linux、Django、MySQL、TensorFlow,教育,200-1000人,2026-05-12
AI算法工程师,网易网络,杭州,12-16K,应届生,博士,Python、Git、Linux、PyTorch、深度学习、数据分析、FastAPI、机器学习,金融科技,5000人以上,2026-05-10
数据分析师,B站网络,西安,11-15K,1-3年,本科,Python、Git、Linux、Pandas、数据分析、高并发、FastAPI、深度学习,互联网,50-200人,2026-06-26
Python后端工程师,字节科技,成都,16-21K,5-10年,硕士,Python、Git、Linux、MySQL、REST API、AWS、数据分析、Spark,电商零售,200-1000人,2026-05-19
数据分析师,贝壳智能,杭州,39-67K,10年以上,硕士,Python、Git、Linux、Pandas、数据分析、Docker、MongoDB、REST API,金融科技,<50人,2026-06-09
AI算法工程师,字节网络,深圳,18-26K,1-3年,博士,Python、Git、Linux、PyTorch、深度学习、机器学习、高并发、TensorFlow,金融科技,5000人以上,2026-06-12
全栈工程师,贝壳科技,成都,5-9K,应届生,硕士,Python、Git、Linux、LangChain、AWS、Flask,金融科技,200-1000人,2026-06-02
NLP工程师,百度智能,杭州,10-14K,1-3年,硕士,Python、Git、Linux、Spark、PyTorch、Redis,智能制造,200-1000人,2026-05-24
深度学习工程师,字节数据,北京,19-30K,1-3年,大专,Python、Git、Linux、PyTorch、深度学习、高并发、Flask、分布式,广告营销,5000人以上,2026-05-29
数据分析师,小米智能,广州,34-51K,10年以上,博士,Python、Git、Linux、Pandas、数据分析、计算机视觉、AWS、MongoDB,广告营销,<50人,2026-05-03
深度学习工程师,阿里智能,杭州,11-16K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、Redis、MySQL、LangChain,金融科技,<50人,2026-05-21
测试开发工程师,网易数据,上海,31-44K,10年以上,本科,Python、Git、Linux、MongoDB、分布式、Spark,教育,1000-5000人,2026-05-29
机器学习工程师,贝壳信息,杭州,11-19K,应届生,大专,Python、Git、Linux、PyTorch、深度学习、MySQL、Docker、分布式,游戏,200-1000人,2026-06-06
AI算法工程师,B站科技,杭州,15-25K,1-3年,本科,Python、Git、Linux、PyTorch、深度学习、Redis、AWS、Docker,互联网,5000人以上,2026-06-06
Python后端工程师,贝壳网络,上海,9-14K,1-3年,本科,Python、Git、Linux、MySQL、REST API、TensorFlow、Django、数据分析,互联网,1000-5000人,2026-05-30
全栈工程师,知乎科技,武汉,12-20K,3-5年,博士,Python、Git、Linux、MongoDB、REST API、TensorFlow,智能制造,<50人,2026-07-06
